,Unnamed: 0,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE,lon,lat
310071,310072,CERTIFIED,"JITTERBIT, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",SOLUTION ENDPOINT EXPERT,Y,121202.0,2016.0,"ALAMEDA, CALIFORNIA",-122.2416355,37.7652065
782064,782065,CERTIFIED,"JITTERBIT, INC.",MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,MARKET RESEARCH ANALYST,Y,45469.0,2015.0,"ALAMEDA, CALIFORNIA",-122.2416355,37.7652065
1059574,1059575,CERTIFIED,"JITTERBIT, INC.",COMPUTER SYSTEMS ANALYSTS,SENIOR INTEGRATION ARCHITECT,Y,93163.0,2015.0,"ALAMEDA, CALIFORNIA",-122.2416355,37.7652065
1085440,1085441,CERTIFIED,"JITTERBIT, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",TECHNICAL ARCHITECT (DIRECTOR),Y,126630.0,2015.0,"ALAMEDA, CALIFORNIA",-122.2416355,37.7652065
1801897,1801898,CERTIFIED,"JITTERBIT, INC.","Software Developers, Applications",TECHNICAL ARCHITECT,Y,119662.0,2013.0,"OAKLAND, CALIFORNIA",-122.27111370000002,37.8043637
2010831,2010832,CERTIFIED,"JITTERBIT, INC.",Market Research Analysts and Marketing Specialists,MARKET RESEARCH ANALYST,N,48172.8,2013.0,"OAKLAND, CALIFORNIA",-122.27111370000002,37.8043637
